CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
ISR4321-V/K9-WS,ISR 4321 Bundle w/UC License,Router,Modular,ACS-4320-RM-19=, PWR-4320-AC ,,ACS-4320-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,NIM-Blank,,,,14.55 x 11.60 x 1.75 in,7.7 - 9.14,288,,
ISR4321-VSEC/K9,-RF   CISCO ISR 4321 BUNDLE W/UC & SEC,Router,Modular,ACS-4320-RM-19=, PWR-4320-AC ,,ACS-4320-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,NIM-Blank,,,,14.55 x 11.60 x 1.75 in,7.7 - 9.14,289,,
ISR4321-VSEC/K9-WS,ISR 4321 Bundle w/UC & SEC License,,,,,,,,,,,,,,,,,,,,290,,
ISR4331/K9-WS,"ISR 4331(3GE,2NIM,1SM,4GFLASH,4G DRAM,IPB)",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,291,,
ISR4331-AX/K9-WS,"ISR 4331 AX Bundle w/ APP,SEC lic",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,292,,
ISR4331-B/K9,"ISR 4331 (3GE, 2NIM, 1SM, 4G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,293,,
ISR4331-B/K9-WS,"ISR 4331 (3GE, 2NIM, 1SM, 4G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,294,,
ISR4331-SEC/K9-WS,ISR 4331 Sec bundle w/SEC license,Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,295,,
ISR4331-V/K9,"CISCO ISR 4331 UC BUNDLE,",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,296,,
ISR4331-VSEC/K9-WS,"ISR 4331 Bundle w/UC & Sec Lic, PVDM4-32",Router,Modular,ACS-4330-RM-19,PWR-4330-AC,,ACS-4330-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 17.25 x 1.75 in,13.5 - 16.1,297,,
ISR4351/K9-WS,"ISR 4351(3GE, 3NIM, 2SM, 4G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4350-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,28.8 - 37.7,298,,
ISR4351-AX/K9-WS,"ISR 4351 AX Bundle w/ APP, SEC lic",Router,Modular,ACS-4350-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,28.8 - 37.7,299,,
ISR4351-SEC/K9,Cisco ISR 4351 Sec bundle w/SEC license,Router,Modular,ACS-4350-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,28.8 - 37.7,300,,
ISR4351-SEC/K9-WS,ISR 4351 Sec bundle w/ SEC license,,,,,,,,,,,,,,,,,,,,301,,
ISR4351-V/K9,"CISCO ISR 4351 UC BUNDLE, PVDM4-64",Router,Modular,ACS-4350-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,28.8 - 37.7,302,,
ISR4351-V/K9-WS,"ISR 4351 UC Bundle, PVDM4-64, UC License",,,,,,,,,,,,,,,,,,,,303,,
ISR4351-VSEC/K9,Cisco ISR 4351 Bundle with UC & Sec Lic. PVDM4-64. CUBE-25,Router,Modular,ACS-4350-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,28.8 - 37.7,304,,
ISR4431/K9-WS,"ISR 4431 (4GE, 3NIM, 8G FLASH, 4G DRAM, IPB)",Router,Modular,ACS-4330-RM-19,PWR-4430-AC,,ACS-4430-FANASSY,,,,,,,,NIM-Blank,,,,1.73 x 17.25 x 19.97 in,18.5 - 28.8,305,,
ISR4431-AXV/K9,CISCO ISR4431-AXV/K9 ISR4000 SERIE,Router,Modular,ACS-4330-RM-19,PWR-4430-AC,,ACS-4430-FANASSY,,,,,,,,NIM-Blank,,,,1.73 x 17.25 x 19.97 in,18.5 - 28.8,306,,
ISR4431-AXV/K9-WS,"ISR 4431 AXV Bun PVDM4-64 w/ APP, SEC, UC Lic",,,,,,,,,,,,,,,,,,,,307,,
ISR4431-DNA,"Cisco ISR 4431 (4GE,3NIM,8G FLASH,4G DRAM,IPB) with DNA sub",Router,Modular,ACS-4330-RM-19,PWR-4430-AC,,ACS-4430-FANASSY,,,,,,,,NIM-Blank,,,,1.73 x 17.25 x 19.97 in,18.5 - 28.8,308,,
ISR4431-V/K9,CISCO ISR 4431 UC BUNDLE,Router,Modular,ACS-4330-RM-19,PWR-4430-AC,,ACS-4430-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,NIM-Blank,,,,1.73 x 17.25 x 19.97 in,18.5 - 28.8,309,,
ISR4431-V/K9-WS,"ISR 4431 UC Bundle, PVDM4-64, UC Lic",,,,,,,,,,,,,,,,,,,,310,,
ISR4451-X/K9-WS,"ISR 4451(4GE, 3 NIM, 2 SM, 8G FLASH, 4G DRAM) IP Base",Router,Modular,ACS-4450-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 18.5 x 3.5 in,28.8 - 42.7,311,,
ISR4451-X-AX/K9,CISCO ISR 4451 AX BUNDLE,Router,Modular,ACS-4450-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 18.5 x 3.5 in,28.8 - 42.7,312,,
ISR4451-X-AXV/K9,"Cisco ISR 4451 AXV Bundle,PVDM4-64 w/APP,SEC,UC License",Router,Modular,ACS-4450-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 18.5 x 3.5 in,28.8 - 42.7,313,,
ISR4451-X-SEC/K9,"Cisco ISR 4451 Sec Bundle, w/SEC license",Router,Modular,ACS-4450-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 18.5 x 3.5 in,28.8 - 42.7,314,,
ISR4451-X-V/K9,"Cisco ISR 4451 UC Bundle, PVDM4-64, UC Lic,CUBE25",Router,Modular,ACS-4450-RM-19,PWR-4450-AC,,ACS-4450-FANASSY,,"PVDM4-32, 	PVDM4-64, PVDM4-128, PVDM4-256",,,,,,"NIM-Blank, SM-Blank",,,,17.25 x 18.5 x 3.5 in,28.8 - 42.7,315,,
ISR4461/K9,"Cisco ISR 4461 (2x10GE+4x1GE,3NIM,3SM,8G FLASH,4G DRAM)",Router,Modular,ACS-4450-RM-19,PWR-4460-650-AC,PWR-CC1-650WDCR/2,ACS-4460-FANASSY,,,,,,,,"NIM-Blank, SM-Blank",,,,22.25 x 26 x 9.75 in,,316,,
MA-INJ-4-US,CISCO MERAKI MR 802.3 AT POE,power,,,,,,,,,,,,,,,,,,,317,,
ME-3600X-24CX-M,Cisco ME-3600X-24CX-M Ethernet/TDM,Switch,Modular,RCKMNT-ME3CX-19IN,PWR-ME3KX-AC,PWR-ME3KX-DC,ME-FANTRAY-XL,,,,,,,,,,,RJ45,17.5 x 15.5 x 3.5,25,318,AC OR DC option,
ME3600X-2X10G-CX,2 Ports 10G license PAK for ME3600X,License,,,,,,,,,,,,,,,,,,,319,,
ME3600X-A,ME3600X Advanced Metro IP Access,License,,,,,,,,,,,,,,,,,,,320,,
ME-3800X-24FS-M,ME3800X Carrier Ethernet Switch,Switch,Modular,RCKMNT-ME3KX-19IN,PWR-ME3KX-AC,PWR-ME3KX-DC,ME-FANTRAY,,,,,,,,,,,RJ45,17.50 x 20.33 x 1.72,14.5,321,AC OR DC option,
MR24-HW,Preliminary US GPL - Meraki MR24 Cloud Managed AP,Access Point,,,,,,,,,,,,,,,,,,,322,,
MR32-HW,PRELIMINARY US GPL- MR32 CLOUD-,Access Point,,,,,,,,,,,,,,,,,,,323,,
MR33-HW,MERAKI MR33 CLOUD MANAGED AP,Access Point,,,,,,,,,,,,,,,,,,,324,,
MR34-HW,MERAKI MR34 CLOUD MGMT ACCESS POINT,Access Point,,,,,,,,,,,,,,,,,,,325,,
MR42-HW,MERAKI MR42,Access Point,,,,,,,,,,,,,,,,,,,326,,
MR46-HW,Meraki MR46 Wi-Fi 6 Indoor AP,Access Point,,,,,,,,,,,,,,,,,,,327,,
MR70-HW,Cisco Meraki MR70 Cloud Managed 802.11ac AP - Appliance Only,Access Point,,,,,,,,,,,,,,,,,,,328,,
MS120-48FP-HW,Meraki MS120-48FP 1G L2 Cld Managed 48x GigE 740W PoE Switch,Switch,Fixed,Fixed,,,,,,,,,,,,,,,17.32 x 13.4 x 1.73,12.7,329,,
MS120-48LP-HW,CISCO MERAKI MS120-48LP 1G L2 CLOUD MNGD,Switch,Fixed,Fixed,,,,,,,,,,,,,,,17.32 x 13.4 x 1.73,12.7,330,,
MS120-8FP-HW,CISCO MERAKI MS120-8FP 1G L2 CLOUD MNGD 8X GIGE 127W POE SWI,Switch,Fixed,Fixed,,,,,,,,,,,,,,,9 x 8.58 x 1.75,3.42,331,,
MS210-24P-HW,Cisco Meraki 24-Port PoE Cloud Managed Stackable GB Switch,Switch,Fixed,Fixed,,,,,,,,,,,,,,,17.32 x 10 x 1.73,9.26,332,,
MS220-24P-HW,PRELIMINARY US GPL - MERAKI MS220 T,Switch,Fixed,Fixed,,,,,,,,,,,,,,,19.1 x 10.11 x 1.74,8.59,333,,
MS225-48FP-HW,MERAKI MS225-48FP L2,Switch,Fixed,Fixed,,,,,,,,,,,,,,,19 x 13.38 x 1.72,9.63,334,,
MS250-48LP-HW,Meraki MS250-48LP L3 Stck Cld-Mngd 48x GigE 370W PoE Switch,Switch,Fixed,Fixed,MA-PWR-640WAC,,,,,,,,,,,,,,19 x 18.82 x 1.72,12.37,335,,
MS320-48FP-HW,CISCO MERAKI MS320-48FP port switch,Switch,Fixed,Fixed,MA-PWR-1025WAC,,,,,,,,,,,,,,19.1 x 22.31 x 1.74,13.13,336,,
MS350-48FP-HW,CISCO MERAKI CLOUD MANAGED SWITCH,Switch,Fixed,Fixed,MA-PWR-1025WAC,,MA-FAN-16K,,,,,,,,,,,,19.07 x 20.32 x 1.72,12.83,337,,
MV21-HW,Meraki MV21 Cloud Managed Indoor HD Dome Camera,Accessory,,,,,,,,,,,,,,,,,,,338,,
MX100-HW,Meraki MX100 Cloud Managed Security Appliance,Firewall,Fixed,Fixed,,,,,,,,,,,,,,,19 x 10 x 1.75,9,339,,
MX250-HW,CISCO MERAKI MX250 CLOUD MANAGED SEC APPLIANCE,Firewall,Fixed,Fixed,MA-PWR-250WAC,,MA-FAN-18K,,,,,,,,,,,,19 x 17.3 x 1.75,16,340,,
MX64-HW,Preliminary US GPL - Meraki MX64 Security Appliance,Router,Fixed,,MA-PWR-30WAC,,,,,,,,,,,,,,5.2 x 1 x 9.5,1.61,341,,
MX64W,CISCO MERAKI MX64W CLOUD MANAGED,Router,Fixed,,MA-PWR-30WAC,,,,,,,,,,,,,,5.2 x 1 x 9.5,1.61,342,,
MX64W-HW,MERAKI MX64W CLOUD MANAGED,Router,Fixed,,MA-PWR-30WAC,,,,,,,,,,,,,,5.2 x 1 x 9.5,1.61,343,,
MX65-HW,Meraki MX65 Router/Security Appliance,Router,Fixed,,MA-PWR-90WAC,,,,,,,,,,,,,,5.2 x 1 x 10,1.61,344,,
MX67C-HW,Meraki MX67C LTE Router/Security Appliance,Router,Fixed,,MA-PWR-30WAC,,,,,,,,,,,,,,9.4 x 6.9 x 1.1,1.87,345,,
MX67-HW,CISCO MERAKI MX67 ROUTER/SEC APPL,Router,Fixed,,MA-PWR-30WAC,,,,,,,,,,,,,,9.4 x 5.1 x 1.1,1.74,346,,
MX68CW-HW-NA,CISCO MERAKI MX68CW LTE AND 802.11AC ROUTER/SEC APPL,Router,Fixed,,MA-PWR-100WAC,,,,,,,,,,,,,,11.2 x 7 x 1.1,2.61,347,,
MX68-HW,Meraki MX68 Router/Security Appliance,Router,Fixed,,MA-PWR-100WAC,,,,,,,,,,,,,,11.2 x 5.8 x 1.1,2.46,348,,
MX68W-HW,Meraki MX68W Router/Security Appliance with 802.11ac.,Router,Fixed,,MA-PWR-100WAC,,,,,,,,,,,,,,11.2 x 6.8 x 1.1,2.55,349,,
MX84-HW,MERAKI MX84 CLOUD MANAGED,Router,Fixed,Fixed,,,,,,,,,,,,,,,10 x 19 x 1.75,9,350,,
MX95-HW,Meraki MX95 Router/Security Appliance,Router,Fixed,Fixed,,,,,,,,,,,,,,,19.08 x 11.23 x 1.73,6.99,351,,
N2K-C2248TF-1GE,"Nexus 2248TP with 8 FET (2 AC PS, 1",Switch,Modular,N2K-C2148T-ACC,N2200-PAC-400W,N2200-PAC-400W,N2K-C2248-FAN,,,,,,,,,,,N/A,17.3 x 20 x 1.72,18,352,,
N2K-C2348TQ-E,"Nexus 2000, 10GT FEX; 48x1/10T; 6x40G QSFP",Switch,Modular,N2300-ACC-KIT,"N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,N/A,17.3 x 17.07 x 1.72,17.7,353,"AC OR DC option, different air flow options",
N2K-C2348UPQ-WS,"NEXUS 2000, 10GE UP FEX; 48X1/10GE",Switch,Modular,N2300-ACC-KIT,"N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,N/A,17.3 x 14.05 x 1.72,15.5,354,"AC OR DC option, different air flow options",
N2XX-AEPCI05,Emulex LPe 12002 Dual Port 8Gb,Adapter,,,,,,,,,,,,,,,,,,,355,,
N3K-BAS1K9,Nexus 3000 Base License,License,,,,,,,,,,,,,,,,,,,356,,
N3K-C3048-BAS1K9,Nexus 3048 Base License,License,,,,,,,,,,,,,,,,,,,357,,
N3K-C3048TP-1GE,Nexus 3048TP-1GE 1RU 48 x,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","N3K-C3048-FAN, N3K-C3048-FAN-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,20.5,358,"AC OR DC option, different air flow options",
N3K-C3064PQ-10GE,"Nexus 3064-E, 48 SFP+ & 4 QSFP+",Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","N3K-C3048-FAN, N3K-C3048-FAN-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,20.5,359,"AC OR DC option, different air flow options",
N3K-C3064-X-BA-L3,"Nexus 3064-X, Rev Airflow (port",Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK",N2200-PAC-400W-B,N2200-PAC-400W-B,N3K-C3064-FAN-B,,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,20.5,360,,
N3K-C31108PC-V,"Nexus 31108-VXLAN, 48 x SFP+ and  6C/6Q QSFP ports",Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","NXA-PAC-650W-PI , NXA-PAC-650W-PE","NXA-PDC-930W-PE , NXA-PDC-930W-PI","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.3 x 1.72,21.4,361,"AC OR DC option, different air flow options",
N3K-C3132Q-40GE,Nexus 3132Q 32 x QSFP+ and 4 SFP+ ports,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,21.5,362,"AC OR DC option, different air flow options",
N3K-C3132Q-40GX,"Cisco Nexus 3132Q-X, 32 QSFP+ ports, low power, latency",Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,21.5,363,"AC OR DC option, different air flow options",
N3K-C3172PQ-10GE,NEXUS 3172P 48 X SFP+ AND 6 QSFP+,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B, NXA-PAC-500W, NXA-PAC-500W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 17 x 1.72,18.6,364,"AC OR DC option, different air flow options",
N3K-C3172TQ-10GT,NEXUS 3172T 48 X 1/10GBASE-T AND,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B, NXA-PAC-500W, NXA-PAC-500W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,22,365,"AC OR DC option, different air flow options",
N3K-C3172TQ-10GT-WS,Nexus 3172T 48 x 1/10GBase-T and 6 QSFP+ports,,,,,,,,,,,,,,,,,,,,366,,
N3K-C3172TQ-XL,"NEXUS 3172TQ, 48 X 10GT & 6 QSFP+ Y",Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N2200-PAC-400W, N2200-PAC-400W-B, NXA-PAC-500W, NXA-PAC-500W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 19.7 x 1.72,22,367,"AC OR DC option, different air flow options",
N3K-C3232C,Cisco ONE Nexus 3232C 32 x 100G,Switch,Modular,"N3K-C3064-ACC-KIT, N9K-C9300-ACK","N9K-PAC-650W-B, N9K-PAC-650W",UCSC-PSU-930WDC,"NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.4,22.2,368,"AC OR DC option, different air flow options",
N3K-C3524P-10GX-WS,"Nexus 3524x, 24 10G Ports",Switch,Modular,N3K-C3064-ACC-KIT,"N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 18.38 X 1.72,17.4,369,"AC OR DC option, different air flow options",
N3K-C3548P-10G,"Nexus 3548, 48 SFP+ ports",Switch,Modular,N3K-C3064-ACC-KIT,"N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 18.38 x 1.72,17.4,370,"AC OR DC option, different air flow options",
N3K-C3548P-10GX,"NEXUS 3548-X 48 SFP+ PORTS,",Switch,Modular,N3K-C3064-ACC-KIT,"N2200-PAC-400W, N2200-PAC-400W-B","N2200-PDC-400W, N2200-PDC-350W-B","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 18.38 x 1.72,17.4,371,"AC OR DC option, different air flow options",
N540-12Z20G-SYS-D,NCS540 20x1G+12x10G DC,Router,Fixed,N540-RCKMT-19,,,,,,,,,,,,,,RJ45,17.3 x 9.84 x 1.72,10.36,372,,
N540-24Z8Q2C-M,Cisco NCS 540 Series Fixed Router 24x10G. 8x25G. 2x100G,Router,Modular,N540-RCKMT-19,N540-PWR400-A,N540-PWR400-D,N540-FAN,,,,,,,,,,,RJ45,17.3 x 10.1 x 1.72,13,373,AC OR DC option,
N540-24Z8Q2C-SYS,N540-24Z8Q2C Base HW Flex. Consumption Need Smart Licensing,Router,Modular,N540-RCKMT-19,N540-PWR400-A,N540-PWR400-D,N540-FAN,,,,,,,,,,,RJ45,17.3 x 10.1 x 1.72,13,374,AC OR DC option,
N540-24Z8Q2C-SYS-WS,Cisco NCS 540 Series Fixed Router 24x10G. 8x25G. 2x100G.,,,,,,,,,,,,,,,,,,,,375,,
N540-28Z4C-SYS-A,NCS 540 28x10G + 4x100G AC SPARE,Router,Fixed,N540-RCKMT-19,,,,,,,,,,,,,,RJ45,17.3 x 9.84 x 1.72,10.36,376,,
N540-28Z4C-SYS-D,NCS 540 28x10G + 4x100G DC,Router,Fixed,N540-RCKMT-19,,,,,,,,,,,,,,RJ45,17.3 x 9.84 x 1.72,10.36,377,,
N540-ACC-SYS,"NCS540 24x1/10G SFP+, 8x1/10/25G SFP+/SFP28, 2x100G QSFP28",Router,Modular,N540-RCKMT-19,N540-PWR400-A,N540-PWR400-D,N540-FAN,,,,,,,,,,,RJ45,17.3 in. x 10.1 x 1.72 ,13,378,AC OR DC option,
N540-ACC-SYS-WS,"NCS540 24x1/10G SFP+, 8x1/10/25G SFP+/SFP28, 2x100G QSFP28.",,,,,,,,,,,,,,,,,,,,379,,
N55-D160L3-V2,CISCO NEXUS 5548 LAYER3 DAUGHTER,card,,,,,,,,,,,,,,,,,,,380,,
N55-M16UP,Nexus 5500 Unified Mod 16p 10GE,card,,,,,,,,,,,,,,,,,,,381,,
N5K-C5548P-FA,"Nexus 5548P 1RU Chassis, 2 PS, 2",Switch,Modular,N5548-ACC-KIT,"N55-PAC-750W, N55-PAC-750W-B",N55-PDC-750W,"N5548P-FAN, N5548P-FAN-B",,,,,,,,,,,RJ45,17.3 x 29.5 x 1.72,35,382,"AC OR DC option, different air flow options",
N5K-C5596UP-FA,"Nexus 5596UP 2RU Chassis, 2PS, 4",Switch,Modular,N5596-ACC-KIT,"N55-PAC-1100W, N55-PAC-1100W-B",N55-PDC-1100W,"N5596UP-FAN, N5596UP-FAN-B",,,,,,,,,,,RJ45,17.3 x 29.5 x 3.47,47.5,383,"AC OR DC option, different air flow options",
N77-C7702,"Nexus 7700 2 Slot Chassis,",chassis,Modular,"N77-C7702-RMK, N77-C7702-ACC-KIT",N77-AC-3KW,N77-DC-3KW,N77-C7702-FAN,,,,,,,,N77-SUP-BLANK,N77-MODULE-BLANK,,RJ45,17.3 x 29.1 x 5.15,37.5,384,AC OR DC option,
N77-C7706-FAB-2,NEXUS 7700 - 6 SLOT CHASSIS 220GBPS,Module,,,,,,,,,,,,,,,,,,,385,,
N77-C7706-FAN-WS,Nexus 7700 6 slot chassis Fan Tray.,Accessory,,,,,,,,,,,,,,,,,,,386,,
N77-C7706-WS,"Nexus 7700 6 Slot Chassis, No Power Supplies, Fans included.",chassis,Modular,"N77-C7706-RMK, N77-C7706-ACC-KIT",N77-AC-3KW,N77-DC-3KW,N77-C7706-FAN,,,,,,,,N77-SUP-BLANK,N77-MODULE-BLANK,,RJ45,17.3 x 32 x 15.6,145,387,AC OR DC option,
N77-F348XP-23,NEXUS 7700 F3-SERIES 48 PORT 10GBE,card,,,,,,,,,,,,,,,,,,,388,,
N7K-C7004,"Nexus 7000 4-Slot Chassis, No Power",chassis,Modular,N7K-C7004-RMK,N7K-AC-3KW,,N7K-C7004-FAN,,,,,,,,N7K-SUP-BLANK,N7K-MODULE-BLANK,,,17.3 x 24 x 12.2,45,389,,
N7K-C7004-FAN,Nexus 7000 - 4 Slot Fan,Accessory,,,,,,,,,,,,,,,,,,,390,,
N7K-C7010-FAB-2,Nexus 7000 - 10 Slot Chassis -,Module,,,,,,,,,,,,,,,,,,,391,,
N7K-F248XP-25,Nexus 7000 F2-Series 48 Port 10GbE,card,,,,,,,,,,,,,,,,,,,392,,
N7K-F248XP-25E,NEXUS 7000 F2-SERIES 48 PORT,card,,,,,,,,,,,,,,,,,,,393,,
N7K-F312FQ-25,NEXUS 7000 F3-SERIES 12 PORT,card,,,,,,,,,,,,,,,,,,,394,,
N7K-F348XP-25,NEXUS 7000 F3-SERIES 48 PORT 10GBE,card,,,,,,,,,,,,,,,,,,,395,,
N7K-LAN1K9,Nexus 7000 LAN Enterprise License,License,,,,,,,,,,,,,,,,,,,396,,
N7K-M132XP-12,"Nexus 7000 - 32 Port 10GbE,  80G",card,,,,,,,,,,,,,,,,,,,397,,
N7K-M132XP-12L,Nexus 7000 - 32 Port 10GbE with XL,card,,,,,,,,,,,,,,,,,,,398,,
N7K-M148GT-11L,Nexus 7000 - 48 Port 10/100/1000,card,,,,,,,,,,,,,,,,,,,399,,
N7K-M206FQ-23L,Nexus 7000 M2-Series 6 Port 40GbE,card,,,,,,,,,,,,,,,,,,,400,,
N7K-SUP2,"Nexus 7000 - Supervisor 2, Includes",card,,,,,,,,,,,,,,,,,,,401,,
N7K-SUP2E,Nexus 7000 - Supervisor 2,card,,,,,,,,,,,,,,,,,,,402,,
N9K-C93108TC-EX,Nexus 9300 with 48p 10G BASE-T and 6p 100G QSFP28.,Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-500W-PI, NXA-PAC-500W-PE, NXA-PAC-650W-PE, NXA-PAC-650W-PI, N9K-PUV-1200W","NXA-PDC-930W-PI, NXA-PDC-930W-PE","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,17.7,403,"AC OR DC option, different air flow options",
N9K-C93108TC-EX-WS,Nexus 9300 w/ 48p10GBASE-T and 6p 100G QSFP28,,,,,,,,,,,,,,,,,,,,404,,
N9K-C93108TC-FX,"Nexus 9300 with 48p 10G-T, 6p 100G QSFP28",Switch,Modular,NXK-ACC-KIT-1RU,"NXA-PAC-500W-PI, NXA-PAC-500W-PE, N9K-PUV-1200W","NXA-PDC-930W-PI, NXA-PDC-930W-PE","NXA-FAN-30CFM-F, NXA-FAN-30CFM-B",,,,,,,,,,,RJ45,17.3 x 22.5 x 1.72,17.4,405,"AC OR DC option, different air flow options",
N9K-C93108TC-FX-WS,"Nexus 9300 with 48p 10G-T, 6p 100G QSFP MAC sec UP",,,,,,,,,,,,,,,,,,,,406,,
