CiscoPN,Description,DeviceType,Fixed-Modular,Rackmount,Powers,P2,Fans,F2,Accessories,A2,A3,A4,A5,A6,Blank,B2,B3,Console,DIMS,Weight,ID,Other,images
CGR-2010/K9,"Cisco CGR2010 w/2GE, 4 GRWIC slots,",router,Modular,ACS-2000-RMRGD-19,PWR-RGD-AC-DC,PWR-RGD-LOW-DC,,,,,,,,,,,,"RJ45 , USB Mini B",17.25 x 15 x 3.5,19-25,216,,
CISCO1841-SEC/K9,1841 Security,router,Modular,ACS-1841-RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,13.5 x 10.8 x 1.73,6.1,217,,
CISCO1921-T1SEC/K9,Cisco 1921 T1 Bundle incl.,Router,Modular,ACS-1900-RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,13.5 x 11.5 x 1.75 in,6.75-7.5 lb,218,,
CISCO2911-V/K9,"Cisco 2911 UC Bundle, PVDM3-16, UC",Router,Modular,ACS-2900-RM-19,PWR-2911-AC,,,,,,,,,,RPS-COVER-2911,WIC-BLANK-PANEL,,RJ45,17.25 x 12 x 3.5,18,219,,
CISCO3825-SRST/K9,3825 Voice Bundle w/,Router,Modular,ACS-3825RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,17.1 x 14.7 x 3.5,23,220,,
CISCO3845,"3845 w/AC PWR,2GE,1SFP,4NME,4HWIC,",Router,Modular,ACS-3845-RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,17.25 x 16 x 5.25,45,221,,
CISCO3845-CCME/K9,3845 Voice Bundle w/,Router,Modular,ACS-3845-RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,17.25 x 16 x 5.25,45,222,,
CISCO3845-HSEC/K9,"3845 Bund. w/AIM-VPN/SSL-3,Adv. IP",Router,Modular,ACS-3845-RM-19,,,,,,,,,,,,WIC-BLANK-PANEL,,RJ45,17.25 x 16 x 5.25,45,223,,
CISCO3845-MB,CISCO 3845 MOTHERBOARD ONLY,module,,,,,,,,,,,,,,,,,,,224,,
CISCO3925E-SEC/K9,Cisco 3925E Security Bundle w/SEC,Router,Modular,ACS-3900RM-19,PWR-3900-AC,PWR-3900-DC,3900-FANASSY,,C3900-SPE200/K9,,,,,,RPS-COVER-3900,WIC-BLANK-PANEL,SM-S-BLANK,RJ45,17.25 x 18.75 x 5.25,39,225,AC OR DC option,
CISCO3945/K9,Cisco 3945,Router,Modular,ACS-3900RM-19,PWR-3900-AC,PWR-3900-DC,3900-FANASSY,,C3900-SPE150/K9,,,,,,RPS-COVER-3900,WIC-BLANK-PANEL,SM-S-BLANK,RJ45,17.25 x 18.75 x 5.25,39,226,AC OR DC option,
CISCO3945E/K9,Cisco 3945E,Router,Modular,ACS-3900RM-19,PWR-3900-AC,PWR-3900-DC,3900-FANASSY,,C3900-SPE250/K9,,,,,,RPS-COVER-3900,WIC-BLANK-PANEL,SM-S-BLANK,RJ45,17.25 x 18.75 x 5.25,39,227,AC OR DC option,
CISCO3945E-SEC/K9,Cisco 3945E Security Bundle w/SEC,Router,Modular,ACS-3900RM-19,PWR-3900-AC,PWR-3900-DC,3900-FANASSY,,C3900-SPE250/K9,,,,,,RPS-COVER-3900,WIC-BLANK-PANEL,SM-S-BLANK,RJ45,17.25 x 18.75 x 5.25,39,228,AC OR DC option,
CISCO7204VXR,"Cisco 7204VXR, 4-slot chassis, 1 AC",Chassis,Modular,ACS-7200-RMK,PWR-7200-AC,,,,,,,,,,,,,RJ45,16.8 x 17 x 5.25,50,229,,
CISCO7206VXR,"Cisco 7206VXR, 6-slot chassis, 1 AC",Chassis,Modular,ACS-7200-RMK,PWR-7200-AC,,,,,,,,,,,,,RJ45,16.8 x 17 x 5.25,50,230,,
CISCO867VAE-K9,Cisco 867VAE Secure router with,Router,Fixed,,PWR-30W-AC,,,,,,,,,,,,,RJ45,9.5 x 9 x 1.75,5.5,231,,
CISCO881/K9,"Cisco 880 Series Security Router, CISCO881-SEC-K9",Router,Fixed,,PWR-60W-AC,,,,,,,,,,,,,RJ45,12.8 x 9.8 x 1.9,5.5,232,,
CISCO881-SEC-K9,CISCO 881 ETHERNET SEC ROUTER W/,Router,Fixed,,PWR-60W-AC,,,,,,,,,,,,,RJ45,12.8 x 9.8 x 1.9,5.5,233,,
CISCO887-K9,CISCO 887 ADSL2/2+ ANNEX A ROUTER,Router,Fixed,,PWR-60W-AC,,,,,,,,,,,,,RJ45,12.8 x 9.8 x 1.9,5.5,234,,
CISCO891-K9,Cisco 891 GigaE SecRouter,Router,Fixed,ACS-890-RM-19,PWR-60W-AC,,,,,,,,,,,,,RJ45,12.8 x 9.8 x 1.9,5.5,235,,
CISCO892-K9,Cisco 892 GigaE SecRouter,Router,Fixed,ACS-890-RM-19,PWR-60W-AC,,,,,,,,,,,,,RJ45,12.8 x 9.8 x 1.9,5.5,236,,
